Symbol,Entry Time,Exit Time,Exit Reason,Underlying Entry Price,Underlying Exit Price,Call Strike,Put Strike,Call Entry Premium,Put Entry Premium,Total Premium Collected,Call Exit Premium,Put Exit Premium,Entry Slippage,Exit Slippage,Total Slippage Paid,Fees Paid,Call SL Hit,Put SL Hit,Trade Duration (hours),Net PnL
BTCUSDT,2026-06-23 09:00:00,2026-06-30 09:00:00,Expiry,62446.0,59359.5,68700.0,56200.0,338.6759112823065,239.49108926100416,578.1670005433107,0.0,315.0466481466319,46.25336004346485,25.203731851730556,71.4570918951954,73.57079999999999,False,True,168.0,118.09246050148326
BTCUSDT,2026-06-30 10:00:00,2026-07-01 21:00:00,Call SL Hit,59292.5,60794.0,65200.0,53400.0,325.17820944842424,231.6147195113317,556.792928959756,428.84000010150885,330.5415210410338,44.54343431678048,60.750521691403414,105.2939560081839,71.32485,True,True,35.0,-379.20739819097054
BTCUSDT,2026-07-01 22:00:00,2026-07-02 12:00:00,Call SL Hit,60478.0,61529.5,66500.0,54400.0,332.10699814639884,228.78917064300094,560.8961687893998,443.05500057674,322.84311160060224,44.87169350315198,61.27184897418738,106.14354247733937,72.61695,True,True,14.0,-383.76243586528176
BTCUSDT,2026-07-02 13:00:00,2026-07-09 13:00:00,Expiry,61843.0,62914.5,68000.0,55700.0,339.7112198003615,241.90922956468512,581.6204493650466,0.0,0.0,46.52963594920374,0.0,46.52963594920374,74.8545,False,False,168.0,460.23631341584286
BTCUSDT,2026-07-09 14:00:00,2026-07-16 14:00:00,Expiry,62973.5,64450.0,69300.0,56700.0,339.2424531559391,244.30456514384878,583.5470182997879,442.39947694921466,0.0,46.68376146398303,35.391958155937175,82.0757196199202,76.30664999999999,True,False,168.0,-17.23482826934699
BTCUSDT,2026-07-16 15:00:00,2026-07-23 15:00:00,Expiry,64694.0,64888.5,71200.0,58200.0,347.7377932944437,245.57753563818096,593.3153289326247,0.0,323.3916067375203,47.46522631460998,25.871328539001624,73.3365548536116,77.40809999999999,False,True,168.0,119.1790673414928
BTCUSDT,2026-07-23 16:00:00,2026-07-30 16:00:00,Expiry,64750.0,64814.0,71200.0,58300.0,355.2562171684367,251.24942097155144,606.5056381399882,0.0,0.0,48.52045105119905,0.0,48.52045105119905,77.73839999999998,False,False,168.0,480.246787088789
BTCUSDT,2026-07-30 17:00:00,2026-08-06 17:00:00,Expiry,64917.0,64527.5,71400.0,58400.0,354.24377520266717,246.3569550865268,600.600730289194,0.0,331.13186611745823,48.048058423135515,26.490549289396657,74.53860771253217,77.4186,False,True,168.0,117.51165645920352
BTCUSDT,2026-08-06 18:00:00,2026-08-13 18:00:00,Expiry,64365.5,63236.5,70800.0,57900.0,350.46177380280824,243.84291881064655,594.3046926134548,0.0,0.0,47.54437540907638,0.0,47.54437540907638,76.5612,False,False,168.0,470.1991172043784
BTCUSDT,2026-08-13 19:00:00,2026-08-20 19:00:00,Expiry,63403.5,72548.0,69700.0,57100.0,350.16314491060075,247.4005236939538,597.5636686045546,672.9151947602768,0.0,47.80509348836436,53.83321558082214,101.6383090691865,80.6004,True,False,168.0,-257.5902352249088
